id,item,geo,inception,country,countryLabel,long,lat
41,http://www.wikidata.org/entity/Q947460,Point(112.705929 -7.44772),2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q252,,112.705929,-7.44772
42,http://www.wikidata.org/entity/Q982837,Point(15.649166666 58.418055555),2013-05-05T00:00:00Z,http://www.wikidata.org/entity/Q34,,15.649166666,58.418055555
43,http://www.wikidata.org/entity/Q867234,Point(12.987777777 55.583611111),2009-04-13T00:00:00Z,http://www.wikidata.org/entity/Q34,,12.987777777,55.583611111
44,http://www.wikidata.org/entity/Q4199474,Point(112.573975 -8.149333),2004-06-09T00:00:00Z,http://www.wikidata.org/entity/Q252,,112.573975,-8.149333
45,http://www.wikidata.org/entity/Q5368862,Point(51.327383 35.634436),2010-05-01T00:00:00Z,http://www.wikidata.org/entity/Q794,,51.327383,35.634436
46,http://www.wikidata.org/entity/Q5400280,Point(-70.253056 -18.005),2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q419,,-70.253056,-18.005
47,http://www.wikidata.org/entity/Q5377615,Point(50.958333 35.850556),2001-01-01T00:00:00Z,http://www.wikidata.org/entity/Q794,,50.958333,35.850556
48,http://www.wikidata.org/entity/Q3625171,Point(26.5275 43.53361111),2011-09-25T00:00:00Z,http://www.wikidata.org/entity/Q219,,26.5275,43.53361111
49,http://www.wikidata.org/entity/Q3499835,Point(16.574167 43.588056),2009-07-22T00:00:00Z,http://www.wikidata.org/entity/Q224,,16.574167,43.588056
50,http://www.wikidata.org/entity/Q4069762,Point(45.151111 40.893333),2007-01-01T00:00:00Z,http://www.wikidata.org/entity/Q399,,45.151111,40.893333
51,http://www.wikidata.org/entity/Q5647818,Point(102.233094444 2.289080555),2004-01-01T00:00:00Z,http://www.wikidata.org/entity/Q833,,102.233094444,2.289080555
52,http://www.wikidata.org/entity/Q5763593,Point(-122.906628 45.554569),1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30,,-122.906628,45.554569
53,http://www.wikidata.org/entity/Q5648127,Point(120.22443 30.2317),2018-01-01T00:00:00Z,http://www.wikidata.org/entity/Q148,,120.22443,30.2317
54,http://www.wikidata.org/entity/Q5613689,Point(108.388 22.767),2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q148,,108.388,22.767
55,http://www.wikidata.org/entity/Q5521161,Point(128.892519 37.7737639),1998-01-01T00:00:00Z,http://www.wikidata.org/entity/Q884,,128.892519,37.7737639
56,http://www.wikidata.org/entity/Q5579203,Point(-72.513384 42.112718),2002-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30,,-72.513384,42.112718
57,http://www.wikidata.org/entity/Q5513793,Point(13.136944 32.859722),2000-05-17T00:00:00Z,http://www.wikidata.org/entity/Q1016,,13.136944,32.859722
58,http://www.wikidata.org/entity/Q5590181,Point(126.74166667 37.68133333),2011-01-01T00:00:00Z,http://www.wikidata.org/entity/Q884,,126.74166667,37.68133333
59,http://www.wikidata.org/entity/Q5518389,Point(-95.1764 29.8083),2002-11-01T00:00:00Z,http://www.wikidata.org/entity/Q30,,-95.1764,29.8083
60,http://www.wikidata.org/entity/Q5518835,Point(0.515833 51.28),2012-07-01T00:00:00Z,http://www.wikidata.org/entity/Q145,,0.515833,51.28
61,http://www.wikidata.org/entity/Q5759571,Point(-80.009444 40.436111),2012-06-25T00:00:00Z,http://www.wikidata.org/entity/Q30,,-80.009444,40.436111
62,http://www.wikidata.org/entity/Q5644033,Point(128.398233 35.281861),1999-12-27T00:00:00Z,http://www.wikidata.org/entity/Q884,,128.398233,35.281861
63,http://www.wikidata.org/entity/Q5425020,Point(36.4833 47.5167),2010-11-01T00:00:00Z,http://www.wikidata.org/entity/Q212,,36.4833,47.5167
64,http://www.wikidata.org/entity/Q5402161,Point(-43.305108 -22.585503),2007-12-01T00:00:00Z,http://www.wikidata.org/entity/Q155,,-43.305108,-22.585503
65,http://www.wikidata.org/entity/Q5116244,Point(127.690945 37.855952),2009-09-12T00:00:00Z,http://www.wikidata.org/entity/Q884,,127.690945,37.855952
66,http://www.wikidata.org/entity/Q4390980,Point(117.184441666 38.8834),2012-01-01T00:00:00Z,http://www.wikidata.org/entity/Q148,,117.184441666,38.8834
67,http://www.wikidata.org/entity/Q5139790,Point(-66.939064 10.474183),2005-01-01T00:00:00Z,http://www.wikidata.org/entity/Q717,,-66.939064,10.474183
68,http://www.wikidata.org/entity/Q5073275,Point(-97.3243 27.7101),2002-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30,,-97.3243,27.7101
69,http://www.wikidata.org/entity/Q4876514,Point(-123.523055555 48.443111111),2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16,,-123.523055555,48.443111111
70,http://www.wikidata.org/entity/Q4931173,Point(-11.74 7.96),2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1044,,-11.74,7.96
71,http://www.wikidata.org/entity/Q4333900,Point(44.4772 48.7664),1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q159,,44.4772,48.7664
72,http://www.wikidata.org/entity/Q5176020,Point(-95.3452 29.7267),1995-02-22T00:00:00Z,http://www.wikidata.org/entity/Q30,,-95.3452,29.7267
73,http://www.wikidata.org/entity/Q4426744,Point(55.976225 53.641672),2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q159,,55.976225,53.641672
74,http://www.wikidata.org/entity/Q5206120,Point(55.132986111 25.021708333),2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q878,,55.132986111,25.021708333
75,http://www.wikidata.org/entity/Q4875021,Point(-2.99902 56.1887),1998-01-01T00:00:00Z,http://www.wikidata.org/entity/Q145,,-2.99902,56.1887
76,http://www.wikidata.org/entity/Q4392918,Point(104.335 52.43722),2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q159,,104.335,52.43722
